start	end	text
80	1560	Guess which twin has the key?
1820	2660	Wind 10 Grand.
2860	4940	Take your blindfold off and look for the differences.
5240	6840	The one on the right has the key.
7260	8360	All right, go behind the curtain.
9020	9860	They look identical.
10480	12460	10 Grand, which one has the key?
12620	14440	Oh, I'm gonna go with all the right.
16000	16740	You guys correctly!
17380	17800	No!
18080	18960	Bring out the triplet.
20200	22800	Do you want to risk it all in double it for 20k?
24720	25460	Yeah, let's do it.
25580	25960	Really?
26300	27380	She will now have the key?
27540	29100	Look for the differences between them.
29260	30320	All three look the same.
30560	32180	They have now mixed up randomly.
32380	34300	With 20k dollars on the line,
34520	35860	let's see if you can guess correctly.
36680	37740	The far left.
38100	38760	The one on the left.
40160	40680	She does!
42220	43780	I lied about them being triplets.
44160	45260	You know where this is going.
45420	48480	Do you want to risk it all again for 40k dollars?
48700	49400	This isn't saying.
50280	50680	I'm good.
50940	51320	I'm good.
51320	51740	You're good.
51960	52860	Good, congrats, man!
53020	56340	Now go watch 100 identical twins battle for 250 grand.
