start	end	text
80	360	Guess
360	560	which
560	780	twin
780	1000	has
1000	1200	the
1200	1560	key?
1820	2100	Wind
2100	2320	10
2320	2660	Grand.
2860	3080	Take
3080	3240	your
3240	3540	blindfold
3540	3840	off
3840	4080	and
4080	4260	look
4260	4420	for
4420	4520	the
4520	4940	differences.
5240	5420	The
5420	5480	one
5480	5660	on
5660	5780	the
5780	5960	right
5960	6240	has
6240	6480	the
6480	6840	key.
7260	7400	All
7400	7520	right,
7540	7700	go
7700	7940	behind
7940	8100	the
8100	8360	curtain.
9020	9200	They
9200	9380	look
9380	9860	identical.
10480	10760	10
10760	11120	Grand,
11160	11560	which
11560	11760	one
11760	12020	has
12020	12220	the
12220	12460	key?
12620	13160	Oh,
13460	13560	I'm
13560	13600	gonna
13600	13740	go
13740	13900	with
13900	14060	all
14060	14160	the
14160	14440	right.
16000	16140	You
16140	16360	guys
16360	16740	correctly!
17380	17800	No!
18080	18260	Bring
18260	18440	out
18440	18580	the
18580	18960	triplet.
20200	20400	Do
20400	20420	you
20420	20600	want
20600	20700	to
20700	20940	risk
20940	21200	it
21200	21400	all
21400	21660	in
21660	21920	double
21920	22100	it
22100	22280	for
22280	22800	20k?
24720	24920	Yeah,
25060	25200	let's
25200	25320	do
25320	25460	it.
25580	25960	Really?
26300	26500	She
26500	26640	will
26640	26800	now
26800	26980	have
26980	27120	the
27120	27380	key?
27540	27780	Look
27780	27920	for
27920	28040	the
28040	28420	differences
28420	28780	between
28780	29100	them.
29260	29540	All
29540	29720	three
29720	29960	look
29960	30120	the
30120	30320	same.
30560	30760	They
30760	30900	have
30900	31140	now
31140	31540	mixed
31540	31840	up
31840	32180	randomly.
32380	32600	With
32600	33360	20k
33360	33540	dollars
33540	33700	on
33700	33800	the
33800	34300	line,
34520	34780	let's
34780	34900	see
34900	35020	if
35020	35100	you
35100	35280	can
35280	35500	guess
35500	35860	correctly.
36680	36900	The
36900	37380	far
37380	37740	left.
38100	38240	The
38240	38340	one
38340	38480	on
38480	38600	the
38600	38760	left.
40160	40400	She
40400	40680	does!
42220	42460	I
42460	42700	lied
42700	42920	about
42920	43080	them
43080	43280	being
43280	43780	triplets.
44160	44360	You
44360	44500	know
44500	44660	where
44660	44840	this
44840	45020	is
45020	45260	going.
45420	45600	Do
45600	45620	you
45620	45800	want
45800	45900	to
45900	46140	risk
46140	46340	it
46340	46460	all
46460	46840	again
46840	47300	for
47300	48080	40k
48080	48480	dollars?
48700	48900	This
48900	49200	isn't
49200	49400	saying.
50280	50500	I'm
50500	50680	good.
50940	51200	I'm
51200	51320	good.
51320	51640	You're
51640	51740	good.
51960	52180	Good,
52420	52540	congrats,
52640	52860	man!
53020	53220	Now
53220	53400	go
53400	53600	watch
53600	54020	100
54020	54460	identical
54460	54780	twins
54780	55080	battle
55080	55320	for
55320	55980	250
55980	56340	grand.
