start	end	text
280	3520	خم من أي واحدة معها المثاح وربح عشرت على في دولار
3560	5800	انزاع سابة العينين وبحط عن الاحتلفات
5820	7420	الفتات على اليومي المعالمثاح
7440	8500	إذا بلخ الفسكار
8740	10060	انه امام متطبقةً
10480	12660	عشرت على افأيه مامها المثاح
12940	14700	او سا اختار الفتات على اليومي
16060	17160	داخمين كصحية
47140	47160	راااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااا
47160	77140	ااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااا
